ID,survived
0,1
1,1
2,1
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,1
29,1
30,1
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,1
39,1
40,0
41,1
42,1
43,0
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,0
52,0
53,1
54,0
55,1
56,1
57,0
58,0
59,1
60,1
61,0
62,0
63,0
64,1
65,1
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,1
76,0
77,0
78,1
79,1
80,0
81,1
82,0
83,0
84,1
85,1
86,0
87,0
88,0
89,0
90,0
91,1
92,1
93,0
94,0
95,0
96,0
97,1
98,0
99,0
100,0
101,1
102,1
103,0
104,0
105,0
106,0
107,1
108,1
109,0
110,1
111,1
112,1
113,0
114,0
115,1
116,1
117,0
118,1
119,0
120,0
121,0
122,1
123,0
124,0
125,1
126,0
127,0
128,0
129,0
130,1
131,0
132,1
133,1
134,1
135,1
136,1
137,0
138,1
139,1
140,0
141,1
142,0
143,0
144,0
145,1
146,1
147,0
148,0
149,1
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,0
158,1
159,0
160,1
161,0
162,1
163,1
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,1
172,0
173,0
174,0
175,1
176,1
177,0
178,1
179,1
180,0
181,0
182,0
183,1
184,0
185,0
186,1
187,0
188,1
189,0
190,1
191,0
192,1
193,1
194,0
195,0
196,0
197,0
198,1
199,1
200,1
201,0
202,1
203,0
204,0
205,0
206,1
207,0
208,0
209,1
210,0
211,0
212,1
213,0
214,1
215,0
216,0
217,1
218,1
219,0
220,1
221,0
222,1
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,1
239,0
240,1
241,1
242,0
243,0
244,1
245,0
246,1
247,0
248,0
249,1
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,1
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,0
291,0
292,1
293,1
294,1
295,0
296,1
297,0
298,0
299,0
300,0
301,0
302,0
303,1
304,1
305,0
306,0
307,0
308,0
