,ID,label
0,0,3
1,1,3
2,2,0
3,3,3
4,4,5
5,5,3
6,6,9
7,7,3
8,8,9
9,9,2
10,10,5
11,11,9
12,12,0
13,13,5
14,14,7
15,15,6
16,16,1
17,17,0
18,18,6
19,19,2
20,20,4
21,21,0
22,22,8
23,23,6
24,24,9
25,25,6
26,26,5
27,27,0
28,28,6
29,29,5
30,30,3
31,31,5
32,32,9
33,33,5
34,34,4
35,35,6
36,36,6
37,37,1
38,38,3
39,39,6
40,40,1
41,41,3
42,42,3
43,43,8
44,44,2
45,45,7
46,46,6
47,47,3
48,48,5
49,49,3
50,50,7
51,51,1
52,52,6
53,53,1
54,54,9
55,55,7
56,56,7
57,57,4
58,58,1
59,59,5
60,60,1
61,61,8
62,62,5
63,63,9
64,64,3
65,65,7
66,66,5
67,67,9
68,68,0
69,69,8
70,70,3
71,71,0
72,72,8
73,73,7
74,74,4
75,75,8
76,76,9
77,77,1
78,78,5
79,79,2
80,80,5
81,81,1
82,82,6
83,83,8
84,84,1
85,85,1
86,86,9
87,87,5
88,88,1
89,89,6
90,90,3
91,91,4
92,92,0
93,93,6
94,94,4
95,95,5
96,96,4
97,97,2
98,98,6
99,99,5
100,100,2
101,101,8
102,102,4
103,103,2
104,104,3
105,105,6
106,106,2
107,107,2
108,108,5
109,109,4
110,110,5
111,111,4
112,112,9
113,113,5
114,114,5
115,115,9
116,116,5
117,117,7
118,118,8
119,119,9
120,120,7
121,121,5
122,122,4
123,123,0
124,124,5
125,125,8
126,126,9
127,127,4
128,128,3
129,129,7
130,130,1
131,131,2
132,132,5
133,133,3
134,134,4
135,135,0
136,136,3
137,137,1
138,138,7
139,139,0
140,140,7
141,141,9
142,142,4
143,143,5
144,144,4
145,145,7
146,146,7
147,147,8
148,148,3
149,149,6
150,150,7
151,151,1
152,152,3
153,153,3
154,154,5
155,155,1
156,156,9
157,157,1
158,158,6
159,159,0
160,160,3
161,161,5
162,162,8
163,163,3
164,164,4
165,165,0
166,166,8
167,167,3
168,168,6
169,169,0
170,170,1
171,171,7
172,172,0
173,173,9
174,174,6
175,175,9
176,176,1
177,177,7
178,178,5
179,179,1
180,180,6
181,181,8
182,182,1
183,183,1
184,184,7
185,185,0
186,186,1
187,187,6
188,188,4
189,189,5
190,190,2
191,191,9
192,192,0
193,193,9
194,194,8
195,195,6
196,196,9
197,197,4
198,198,3
199,199,1
200,200,5
201,201,0
202,202,2
203,203,4
204,204,3
205,205,1
206,206,4
207,207,9
208,208,9
209,209,5
210,210,9
211,211,8
212,212,5
213,213,6
214,214,9
215,215,7
216,216,8
217,217,1
218,218,7
219,219,7
220,220,7
221,221,3
222,222,7
223,223,7
224,224,3
225,225,3
226,226,5
227,227,1
228,228,7
229,229,9
230,230,7
231,231,4
232,232,8
233,233,3
234,234,2
235,235,2
